"title","labels","body"
"feat(auth): entidade Usuario (pai) e migration revisadas","type:feature|area:auth|priority:P0|track:A","## Contexto
Entidade `Usuario` ja existe no scaffold (usuario/entity). Revisar campos necessarios para pai: nome, email (unico), senha (hash), telefone, foto/avatar, provider (LOCAL/GOOGLE), created_at/updated_at, ativo.

## Escopo
- Revisar `Usuario.java` e `V3__create_usuarios.sql`.
- Garantir unicidade de email.
- Suportar usuarios vindos do OAuth2 (sem senha).

## Criterios de aceite
- [ ] Migration idempotente, nao quebra historico.
- [ ] Testes unitarios do repositorio.

---
**Epic:** `auth` | **Track:** `A`"
"feat(auth): POST /auth/register - cadastro de pai","type:feature|area:auth|priority:P0|track:A","## Contexto
Cadastro do pai/responsavel com email e senha.

## Escopo
- POST /auth/register com nome, email, senha.
- Validacoes (email valido, senha forte, email unico).
- Hash de senha via PasswordEncoder ja existente.
- Retorna 201 + usuario basico (sem senha).

## Criterios de aceite
- [ ] Email duplicado retorna 409 com codigo AUTH_EMAIL_JA_CADASTRADO.
- [ ] Senha nunca volta na resposta.
- [ ] Teste de integracao cobrindo sucesso e erro.

## Depende de
- feat(auth): entidade Usuario (pai) e migration revisadas

---
**Epic:** `auth` | **Track:** `A`"
"feat(auth): POST /auth/login - autenticacao JWT","type:feature|area:auth|priority:P0|track:A","## Contexto
Autenticacao por email/senha retornando access token JWT e refresh token.

## Escopo
- POST /auth/login com email + senha.
- Retorna access token (curta duracao) + refresh token.
- Persistencia de refresh token (tabela ja existe).

## Criterios de aceite
- [ ] Credencial invalida retorna 401.
- [ ] Access token contem sub (user id) e expiracao.
- [ ] Teste de integracao cobrindo sucesso e credenciais invalidas.

## Depende de
- feat(auth): POST /auth/register - cadastro de pai

---
**Epic:** `auth` | **Track:** `A`"
"feat(auth): POST /auth/refresh - rotacao de refresh token","type:feature|area:auth|priority:P0|track:A","## Contexto
Renovacao do access token via refresh token com rotacao.

## Escopo
- POST /auth/refresh com refresh token.
- Invalida token antigo e emite par novo (rotacao).
- Revoga todos os refresh tokens do usuario em caso de reuso detectado.

## Criterios de aceite
- [ ] Refresh token expirado/invalido retorna 401.
- [ ] Teste cobre rotacao e deteccao de reuso.

## Depende de
- feat(auth): POST /auth/login - autenticacao JWT

---
**Epic:** `auth` | **Track:** `A`"
"feat(auth): login com Google (OAuth2)","type:feature|area:auth|priority:P1|track:A","## Contexto
Ja ha scaffold em `config/oauth2/` (CustomOidcUserService, OAuth2AuthenticationSuccessHandler). Finalizar fluxo para o mobile obter JWT apos login Google.

## Escopo
- Endpoint que recebe id_token Google do app e emite JWT/refresh.
- Criar `Usuario` com provider=GOOGLE se nao existir.
- Vincular a conta existente se email ja cadastrado (com aviso).

## Criterios de aceite
- [ ] App mobile troca id_token Google por par JWT/refresh.
- [ ] Documentado no Swagger.

## Notas tecnicas
- Nao usar fluxo redirect-based (app mobile); trocar id_token direto.

## Depende de
- feat(auth): POST /auth/login - autenticacao JWT

---
**Epic:** `auth` | **Track:** `A`"
"feat(auth): recuperacao de senha (forgot + reset)","type:feature|area:auth|priority:P1|track:A","## Contexto
Fluxo de esqueci-minha-senha: pai informa email, recebe token (por email), usa token para definir nova senha.

## Escopo
- POST /auth/forgot-password (email).
- POST /auth/reset-password (token + nova senha).
- Token com expiracao curta (ex. 30 min).
- Envio de email (pode ser log em dev).

## Criterios de aceite
- [ ] Token usado nao pode ser reusado.
- [ ] Email inexistente responde 200 generico (anti-enumeracao).
- [ ] Teste cobre sucesso, token expirado e reuso.

## Depende de
- feat(auth): POST /auth/login - autenticacao JWT

---
**Epic:** `auth` | **Track:** `A`"
"feat(usuarios): GET e PUT /usuarios/me - perfil do pai","type:feature|area:auth|priority:P1|track:A","## Contexto
Pai visualiza e edita o proprio perfil (nome, telefone, avatar).

## Escopo
- GET /usuarios/me (usuario autenticado).
- PUT /usuarios/me (campos editaveis).
- Endpoint para alterar senha (requer senha atual).

## Criterios de aceite
- [ ] Email nao e alteravel (ou requer fluxo proprio).
- [ ] Teste de integracao.

## Depende de
- feat(auth): POST /auth/login - autenticacao JWT

---
**Epic:** `auth` | **Track:** `A`"
"feat(vinculo): POST /usuarios/me/alunos - vincular aluno","type:feature|area:vinculo|priority:P0|track:A","## Contexto
Pai vincula um aluno ao proprio perfil informando matricula + um codigo/senha de validacao (combinado no modelo: pode ser codigo gerado pela escola). A tabela `usuario_aluno` ja existe.

## Escopo
- POST /usuarios/me/alunos com matricula + codigo de validacao.
- Valida que o aluno existe e que o codigo confere.
- Impede vinculo duplicado.

## Criterios de aceite
- [ ] Retorna 201 com dados basicos do aluno vinculado.
- [ ] Codigo invalido -> 403 VINCULO_CODIGO_INVALIDO.
- [ ] Aluno inexistente -> 404.

## Notas tecnicas
- Definir fonte do 'codigo de validacao' na issue (sugerido: campo novo em `alunos` populado pela escola ou gerado no momento do cadastro do aluno no backend legado).

## Depende de
- feat(auth): POST /auth/login - autenticacao JWT

---
**Epic:** `vinculo` | **Track:** `A`"
"feat(vinculo): GET /usuarios/me/alunos - listar filhos vinculados","type:feature|area:vinculo|priority:P0|track:A","## Contexto
Lista alunos vinculados ao pai autenticado, com dados resumidos.

## Escopo
- GET /usuarios/me/alunos.
- Retorna id, nome, matricula, turma (se relevante), qtdLivrosLidos, livroAtual (titulo).

## Criterios de aceite
- [ ] So retorna alunos do pai logado.
- [ ] Teste cobrindo pai sem filhos (lista vazia).

## Depende de
- feat(vinculo): POST /usuarios/me/alunos - vincular aluno

---
**Epic:** `vinculo` | **Track:** `A`"
"feat(vinculo): DELETE /usuarios/me/alunos/{alunoId} - desvincular","type:feature|area:vinculo|priority:P2|track:A","## Contexto
Pai remove o vinculo de um aluno (nao deleta o aluno, so o relacionamento).

## Escopo
- DELETE /usuarios/me/alunos/{alunoId}.
- 404 se nao existe vinculo.

## Criterios de aceite
- [ ] Metas criadas pelo pai para esse aluno ficam inacessiveis (definir regra na issue).

## Depende de
- feat(vinculo): POST /usuarios/me/alunos - vincular aluno

---
**Epic:** `vinculo` | **Track:** `A`"
"feat(autorizacao): garantir que pai so acessa dados de alunos vinculados","type:feature|area:vinculo|priority:P0|track:A","## Contexto
Regra transversal: em qualquer endpoint que receba alunoId ou emprestimoId ou metaId, conferir que o recurso pertence a um aluno vinculado ao pai autenticado.

## Escopo
- Service helper `AlunoVerificationService` (ja existe no scaffold) - usar/estender.
- Aplicar em controllers de alunos, emprestimos, metas.
- 403 consistente via GlobalExceptionHandler.

## Criterios de aceite
- [ ] Teste de integracao: pai X tenta acessar aluno de pai Y -> 403.
- [ ] Aplicado em todos os endpoints que acessam dados de aluno.

## Depende de
- feat(vinculo): POST /usuarios/me/alunos - vincular aluno
- chore(infra): padronizar ApiResponse, GlobalExceptionHandler e validacao

---
**Epic:** `vinculo` | **Track:** `A`"
"feat(livros): entidade Livro completa + migration","type:feature|area:livros|priority:P1|track:B","## Contexto
A entidade `Livro` do scaffold tem apenas id e titulo. Precisa de autor, sinopse, capa (url), categoria, isbn, total de paginas. A migration V5 do lottus-backend serve como referencia.

## Escopo
- Expandir `Livro.java`.
- Criar migration (proxima versao Flyway).
- Repository com busca por titulo/autor.

## Criterios de aceite
- [ ] Migration aplica do zero e e idempotente.
- [ ] Teste do repository para busca.

---
**Epic:** `livros` | **Track:** `B`"
"feat(livros): GET /livros - listagem paginada com busca","type:feature|area:livros|priority:P1|track:B","## Contexto
Listagem do catalogo para o pai escolher livro ao registrar nova leitura.

## Escopo
- GET /livros?search=&categoria=&page=&size=.
- Paginacao padrao Spring.
- Ordenacao por titulo.

## Criterios de aceite
- [ ] Busca case-insensitive por titulo/autor.
- [ ] Teste de integracao.

## Depende de
- feat(livros): entidade Livro completa + migration

---
**Epic:** `livros` | **Track:** `B`"
"feat(livros): GET /livros/{id} - detalhes","type:feature|area:livros|priority:P2|track:B","## Contexto
Pagina de detalhes do livro no app.

## Escopo
- GET /livros/{id}.
- Retorna todos os campos + categoria.

## Criterios de aceite
- [ ] 404 quando nao existe.

## Depende de
- feat(livros): entidade Livro completa + migration

---
**Epic:** `livros` | **Track:** `B`"
"feat(emprestimos): entidade e migration revisadas","type:feature|area:emprestimos|priority:P0|track:A","## Contexto
Entidade `Emprestimo` ja existe com id, aluno, livro, dataEmprestimo, dataDevolucaoPrevista, diasAtrasados, statusEmprestimo. Avaliar se precisa: dataDevolucaoReal, observacoes, paginasLidas.

## Escopo
- Revisar `Emprestimo.java`.
- Criar migration para emprestimos no mobile (nao existe V6 no mobile, so no backend legado).
- Repository com consultas por aluno e por status.

## Criterios de aceite
- [ ] Migration idempotente aplicada.
- [ ] Teste do repository (historico do aluno, leitura atual).

## Depende de
- feat(livros): entidade Livro completa + migration

---
**Epic:** `emprestimos` | **Track:** `A`"
"feat(emprestimos): POST /alunos/{id}/emprestimos - cadastrar nova leitura","type:feature|area:emprestimos|priority:P0|track:A","## Contexto
Pai registra que o filho comecou a ler um livro. Cria emprestimo com status ATIVO para um livro existente (nao cria livro novo).

## Escopo
- POST /alunos/{id}/emprestimos com livroId + dataDevolucaoPrevista.
- Valida autorizacao (filho vinculado).
- Impede criar novo emprestimo se ja existe um ATIVO para o mesmo aluno (regra a confirmar).

## Criterios de aceite
- [ ] 403 se aluno nao pertence ao pai.
- [ ] 404 se livro nao existe.
- [ ] Teste de integracao.

## Depende de
- feat(emprestimos): entidade e migration revisadas
- feat(autorizacao): garantir que pai so acessa dados de alunos vinculados

---
**Epic:** `emprestimos` | **Track:** `A`"
"feat(emprestimos): GET /alunos/{id}/emprestimos - historico","type:feature|area:emprestimos|priority:P0|track:A","## Contexto
Historico completo de leituras do aluno com filtros.

## Escopo
- GET /alunos/{id}/emprestimos?status=&periodoInicio=&periodoFim=&page=&size=.
- Ordenacao por dataEmprestimo desc.
- Autorizacao por vinculo.

## Criterios de aceite
- [ ] Paginado.
- [ ] Teste de integracao.

## Depende de
- feat(emprestimos): entidade e migration revisadas
- feat(autorizacao): garantir que pai so acessa dados de alunos vinculados

---
**Epic:** `emprestimos` | **Track:** `A`"
"feat(emprestimos): GET /alunos/{id}/emprestimos/atual - livro em leitura","type:feature|area:emprestimos|priority:P1|track:A","## Contexto
Endpoint especifico para o card de 'livro atual' no dashboard.

## Escopo
- GET /alunos/{id}/emprestimos/atual.
- Retorna emprestimo ATIVO mais recente ou 204.

## Criterios de aceite
- [ ] 204 quando aluno nao tem leitura ativa.
- [ ] Teste de integracao.

## Depende de
- feat(emprestimos): entidade e migration revisadas

---
**Epic:** `emprestimos` | **Track:** `A`"
"feat(emprestimos): PATCH /emprestimos/{id}/concluir - concluir leitura","type:feature|area:emprestimos|priority:P0|track:A","## Contexto
Marca leitura como concluida (devolvida), atualiza qtdLivrosLidos do aluno e dispara hook de progresso de metas.

## Escopo
- PATCH /emprestimos/{id}/concluir com dataDevolucaoReal (default hoje).
- Atualiza status para CONCLUIDO.
- Incrementa `aluno.qtdLivrosLidos`.
- Publica evento interno para metas.

## Criterios de aceite
- [ ] Teste: apos concluir, qtdLivrosLidos do aluno aumenta.
- [ ] Teste: evento publicado (mock).
- [ ] Idempotencia: concluir duas vezes retorna 409.

## Depende de
- feat(emprestimos): POST /alunos/{id}/emprestimos - cadastrar nova leitura

---
**Epic:** `emprestimos` | **Track:** `A`"
"feat(metas): modelagem da entidade Meta + migration","type:feature|area:metas|priority:P0|track:B","## Contexto
Entidade Meta: id, alunoId, criadoPorUsuarioId (pai), titulo, descricao (opcional), tipoMeta (QUANTIDADE_LIVROS, GENERO, PAGINAS, LIVRO_ESPECIFICO), tipoValidacao (BOOLEANA, PERCENTUAL), valorAlvo (nullable quando booleana), valorAtual, dataInicio, dataFim, status (ATIVA, CONCLUIDA, CANCELADA), created_at/updated_at.

## Escopo
- Entidade + enums.
- Migration Flyway.
- Repository.

## Criterios de aceite
- [ ] Migration aplicada.
- [ ] Testes unitarios do repository.

---
**Epic:** `metas` | **Track:** `B`"
"feat(metas): POST /alunos/{id}/metas - criar meta","type:feature|area:metas|priority:P0|track:B","## Contexto
Pai cria meta para filho vinculado. Informa tipo, titulo, duracao, forma de validacao.

## Escopo
- POST /alunos/{id}/metas.
- Validar autorizacao por vinculo.
- Validar consistencia (BOOLEANA nao exige valorAlvo; PERCENTUAL exige >0).

## Criterios de aceite
- [ ] 403 para aluno nao vinculado.
- [ ] 400 quando payload inconsistente.
- [ ] Teste de integracao.

## Depende de
- feat(metas): modelagem da entidade Meta + migration
- feat(autorizacao): garantir que pai so acessa dados de alunos vinculados

---
**Epic:** `metas` | **Track:** `B`"
"feat(metas): GET /alunos/{id}/metas - listar metas com progresso","type:feature|area:metas|priority:P0|track:B","## Contexto
Lista metas de um aluno, retornando progresso (valorAtual/valorAlvo) e status.

## Escopo
- GET /alunos/{id}/metas?status=.
- Retorna progresso percentual computado quando tipoValidacao=PERCENTUAL.

## Criterios de aceite
- [ ] Aluno sem meta -> lista vazia.
- [ ] Autorizacao por vinculo aplicada.

## Depende de
- feat(metas): POST /alunos/{id}/metas - criar meta

---
**Epic:** `metas` | **Track:** `B`"
"feat(metas): PATCH /metas/{id} - atualizar progresso/concluir","type:feature|area:metas|priority:P1|track:B","## Contexto
Pai atualiza progresso manualmente ou muda status.

## Escopo
- PATCH /metas/{id} com valorAtual e/ou status.
- Se valorAtual>=valorAlvo e status!=CONCLUIDA, mover para CONCLUIDA automaticamente.

## Criterios de aceite
- [ ] Autorizacao por vinculo.
- [ ] Teste da transicao automatica.

## Depende de
- feat(metas): POST /alunos/{id}/metas - criar meta

---
**Epic:** `metas` | **Track:** `B`"
"feat(metas): DELETE /metas/{id} - remover meta","type:feature|area:metas|priority:P2|track:B","## Contexto
Pai pode remover meta (hard delete ou soft, a decidir na issue).

## Escopo
- DELETE /metas/{id}.
- Autorizacao por vinculo.

## Criterios de aceite
- [ ] 404 quando nao existe.
- [ ] Teste de integracao.

## Depende de
- feat(metas): POST /alunos/{id}/metas - criar meta

---
**Epic:** `metas` | **Track:** `B`"
"feat(metas): atualizar progresso automaticamente em emprestimos","type:feature|area:metas|priority:P1|track:B","## Contexto
Quando um emprestimo e concluido, metas ativas compativeis (tipo, periodo, filtros) do aluno devem ter valorAtual incrementado.

## Escopo
- Listener do evento de conclusao de emprestimo.
- Para tipoMeta=QUANTIDADE_LIVROS: +1 em metas ativas do aluno dentro do periodo.
- Para tipoMeta=GENERO: +1 se categoria do livro bate.
- Para tipoMeta=PAGINAS: soma paginas do livro.
- Para tipoMeta=LIVRO_ESPECIFICO: marca como concluida (booleana).

## Criterios de aceite
- [ ] Teste ponta-a-ponta: criar meta, concluir emprestimo, progresso atualizado.
- [ ] Funciona com metas PERCENTUAL e BOOLEANA.

## Depende de
- feat(emprestimos): PATCH /emprestimos/{id}/concluir - concluir leitura
- feat(metas): PATCH /metas/{id} - atualizar progresso/concluir

---
**Epic:** `metas` | **Track:** `B`"
"feat(alunos): GET /alunos/{id} - perfil do aluno","type:feature|area:alunos|priority:P1|track:A","## Contexto
Perfil do aluno na visao do pai (apenas leitura, sem dados de turma/escola sensiveis).

## Escopo
- GET /alunos/{id}.
- Retorna id, nome, matricula, qtdLivrosLidos, qtdBonus (se fizer sentido), livroAtual.

## Criterios de aceite
- [ ] Autorizacao por vinculo.
- [ ] Teste de integracao.

## Depende de
- feat(autorizacao): garantir que pai so acessa dados de alunos vinculados

---
**Epic:** `alunos` | **Track:** `A`"
"feat(alunos): GET /alunos/{id}/dashboard - resumo","type:feature|area:alunos|priority:P1|track:A","## Contexto
Endpoint de dashboard otimizado para a tela inicial do app (evita multiplas chamadas).

## Escopo
- GET /alunos/{id}/dashboard.
- Retorna: livroAtual, totalLivrosLidos, metasAtivas (resumo com progresso), ultimasLeituras (3).

## Criterios de aceite
- [ ] Autorizacao por vinculo.
- [ ] Cache opcional (pode ser iteracao futura).

## Depende de
- feat(emprestimos): GET /alunos/{id}/emprestimos/atual - livro em leitura
- feat(metas): GET /alunos/{id}/metas - listar metas com progresso

---
**Epic:** `alunos` | **Track:** `A`"
"test: testes unitarios de services (auth, vinculo, emprestimo, meta)","type:test|area:infra|priority:P1|track:shared","## Contexto
Cobertura minima de testes unitarios para services criticos.

## Escopo
- AuthService (login, register, refresh).
- UsuarioAlunoService (vinculo).
- EmprestimoService (criar, concluir).
- MetaService (criar, atualizar progresso).

## Criterios de aceite
- [ ] >= 70% de cobertura nas classes listadas.
- [ ] Testes rodam em CI.

---
**Epic:** `infra` | **Track:** `shared`"
"test: testes de integracao de controllers principais","type:test|area:infra|priority:P1|track:shared","## Contexto
@SpringBootTest + Testcontainers (MySQL) para fluxos ponta-a-ponta.

## Escopo
- AuthController (register/login/refresh).
- UsuarioAlunoController (vinculo).
- EmprestimoController (criar/listar/concluir).
- MetaController (criar/listar/atualizar).

## Criterios de aceite
- [ ] Testes rodam em CI (cache de imagem docker).
- [ ] Cobrem autorizacao (pai X tentando acessar filho de Y).

## Depende de
- chore(infra): configurar GitHub Actions (build + test)

---
**Epic:** `infra` | **Track:** `shared`"
